Chr01	1	500000	417
Chr01	500001	1000000	419
Chr01	1000001	1500000	474
Chr01	1500001	2000000	431
Chr01	2000001	2500000	392
Chr01	2500001	3000000	392
Chr01	3000001	3500000	463
Chr01	3500001	4000000	450
Chr01	4000001	4500000	465
Chr01	4500001	5000000	492
Chr01	5000001	5500000	472
Chr01	5500001	6000000	487
Chr01	6000001	6500000	465
Chr01	6500001	7000000	487
Chr01	7000001	7500000	448
Chr01	7500001	8000000	512
Chr01	8000001	8500000	438
Chr01	8500001	9000000	435
Chr01	9000001	9500000	511
Chr01	9500001	10000000	501
Chr01	10000001	10500000	446
Chr01	10500001	11000000	427
Chr01	11000001	11500000	430
Chr01	11500001	12000000	519
Chr01	12000001	12500000	391
Chr01	12500001	13000000	485
Chr01	13000001	13500000	533
Chr01	13500001	14000000	527
Chr01	14000001	14500000	497
Chr01	14500001	15000000	467
Chr01	15000001	15500000	529
Chr01	15500001	16000000	513
Chr01	16000001	16500000	485
Chr01	16500001	17000000	530
Chr01	17000001	17500000	537
Chr01	17500001	18000000	541
Chr01	18000001	18500000	329
Chr01	18500001	19000000	562
Chr01	19000001	19500000	501
Chr01	19500001	20000000	506
Chr01	20000001	20500000	458
Chr01	20500001	21000000	474
Chr01	21000001	21500000	468
Chr01	21500001	22000000	538
Chr01	22000001	22500000	534
Chr01	22500001	23000000	468
Chr01	23000001	23500000	611
Chr01	23500001	24000000	583
Chr01	24000001	24500000	533
Chr01	24500001	25000000	539
Chr01	25000001	25500000	498
Chr01	25500001	26000000	486
Chr01	26000001	26500000	461
Chr01	26500001	27000000	409
Chr01	27000001	27500000	393
Chr01	27500001	28000000	480
Chr01	28000001	28500000	490
Chr01	28500001	29000000	418
Chr01	29000001	29500000	440
Chr01	29500001	30000000	453
Chr01	30000001	30500000	512
Chr01	30500001	31000000	452
Chr01	31000001	31500000	465
Chr01	31500001	32000000	513
Chr01	32000001	32500000	483
Chr01	32500001	33000000	448
Chr01	33000001	33500000	514
Chr01	33500001	34000000	506
Chr01	34000001	34500000	470
Chr01	34500001	35000000	503
Chr01	35000001	35500000	467
Chr01	35500001	36000000	507
Chr01	36000001	36500000	505
Chr01	36500001	37000000	534
Chr01	37000001	37500000	488
Chr01	37500001	38000000	448
Chr01	38000001	38500000	531
Chr01	38500001	39000000	493
Chr01	39000001	39500000	502
Chr01	39500001	40000000	524
Chr01	40000001	40500000	427
Chr01	40500001	41000000	579
Chr01	41000001	41500000	476
Chr01	41500001	42000000	617
Chr01	42000001	42500000	502
Chr01	42500001	43000000	536
Chr01	43000001	43500000	497
Chr01	43500001	44000000	481
Chr01	44000001	44500000	525
Chr01	44500001	45000000	495
Chr01	45000001	45500000	475
Chr01	45500001	46000000	542
Chr01	46000001	46500000	530
Chr01	46500001	47000000	524
Chr01	47000001	47500000	553
Chr01	47500001	48000000	572
Chr01	48000001	48500000	423
Chr01	48500001	49000000	439
Chr01	49000001	49500000	445
Chr01	49500001	49788581	274
Chr02	1	500000	401
Chr02	500001	1000000	393
Chr02	1000001	1500000	385
Chr02	1500001	2000000	456
Chr02	2000001	2500000	397
Chr02	2500001	3000000	368
Chr02	3000001	3500000	411
Chr02	3500001	4000000	400
Chr02	4000001	4500000	387
Chr02	4500001	5000000	448
Chr02	5000001	5500000	407
Chr02	5500001	6000000	393
Chr02	6000001	6500000	423
Chr02	6500001	7000000	486
Chr02	7000001	7500000	476
Chr02	7500001	8000000	486
Chr02	8000001	8500000	383
Chr02	8500001	9000000	486
Chr02	9000001	9500000	495
Chr02	9500001	10000000	436
Chr02	10000001	10500000	429
